"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1041738302" "1041738302" 59.19856 10.87356 "nat" 1905 "NO" 1591 44 156 -60 514 88 18 50 220 69 182 69 143 36 8440 257 -136 393 128 -60 -0.71313842260593 2.52991755806302 -2.17366868483175
"1041738328" "1041738328" 58.1286 8.05735 "nat" 1905 "NO" 241 162 253 78 1024 195 5 80 514 29 29 512 147 42 6979 364 19 345 83 253 -3.5666798675445 -6.97195696149073 1.54954399864584
"1042743326" "1042743326" 38.80778 -119.77778 "inv" 2008 "US" 1258 70 170 -27 285 34 11 32 99 39 46 97 160 41 7662 290 -92 382 -21 165 -3.4517205548602 1.79179805966104 -0.273449144396262
"1045038462" "1045038462" 49.9775 6.96028 "nat" 1997 "DE" 1558 86 203 -25 359 62 6 67 178 22 156 22 171 39 8842 313 -115 428 176 -25 -3.39736195298214 2.08790576023741 0.363157690378103
"1046606659" "1046606659" 37.13717 -118.05363 "inv" 1988 "US" 339 104 214 -6 187 30 5 45 79 22 26 70 129 34 8516 312 -61 373 0 207 -3.64449078325285 1.1686354289399 2.20526027913812
"125533543" "125533543" 39.27083 -103.70972 "inv" 2000 "US" 1720 45 148 -51 457 78 15 52 203 57 171 57 145 39 7778 249 -122 371 122 -51 -1.43207903823881 2.4301988018032 -2.25304631435422
"126128833" "126128833" 48.60556 -120.20111 "inv" 2004 "US" 188 119 217 25 226 34 5 45 94 24 28 85 131 38 7458 318 -23 341 30 211 -3.10355782935206 -0.362770967756098 3.11614774866913
"126128843" "126128843" 47.09847 -120.6983 "inv" 2006 "US" 1530 93 212 -20 390 70 7 69 195 24 182 24 170 39 8992 316 -111 427 185 -20 -3.37851459431192 1.83908354562485 0.553590111706374
"126128853" "126128853" 47.44978 -120.58787 "inv" 2006 "US" 1591 127 233 25 245 46 7 54 113 27 90 47 184 44 8144 339 -70 409 227 164 -4.49273859813137 0.458503641436883 2.8335800203952
"164347419" "164347419" 47.59833 -122.335 "inv" 2007 "US" 1056 58 156 -36 867 120 29 36 328 116 128 312 147 39 7466 276 -93 369 -28 151 -0.890616587464247 -0.562117988479529 -2.910071669883
"164347423" "164347423" 48.47667 -123.03167 "inv" 2007 "US" 1390 97 217 -18 345 62 7 61 162 25 136 25 170 38 9095 324 -112 436 191 -18 -3.53149321669759 2.074330276971 1.05914807737135
"164347440" "164347440" 48.06667 -123.06167 "inv" 2005 "US" 34 153 244 64 487 64 16 35 183 66 78 158 97 32 7046 313 19 294 80 240 -1.08494108760507 -2.38733503940731 4.17049040737058
"164347447" "164347447" 47.54833 -120.25333 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12 3.96311358237631 0.0592172799910622 -0.411679658842114
"164347451" "164347451" 45.71167 -121.655 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12 3.91381055122099 0.0816214200611322 -0.430846605150222
"164347460" "164347460" 47.70333 -122.09167 "inv" 2000 "US" 26 74 147 7 1273 161 58 31 452 194 271 296 46 22 5583 181 -21 202 87 91 5.90532035448312 -3.01337869643339 -2.33054987876404
"164347462" "164347462" 46.23833 -119.05833 "inv" 2005 "US" 21 74 147 7 1271 161 58 32 451 194 271 296 46 22 5574 181 -21 202 87 91 5.85343301922037 -3.00550832822301 -2.34533565715983
"164347463" "164347463" 46.25667 -118.84667 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92 5.84669479446717 -2.92043926533938 -2.31820448149108
"164347464" "164347464" 47.77167 -120.97167 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92 5.88736323184823 -2.93891969841145 -2.30239430233066
"174504460" "174504460" 36.87892 -104.39634 "inv" 1991 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148 -2.08478396380211 1.76276942282661 -1.32233736361683
"176910247" "176910247" 38.31639 -103.34917 "inv" 2000 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106 -1.08192510582642 1.7344601041315 -4.87113922605226
"176910249" "176910249" 39.28789 -102.98763 "inv" 1972 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186 -2.67927063615267 -0.159474511674338 1.57934386513386
"176910251" "176910251" 39.27083 -103.70972 "inv" 2000 "US" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182 -2.66775787351769 -0.0767658454066126 1.1210468497504
"176910253" "176910253" 40.06444 -106.20583 "inv" 2004 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186 -2.65842504206141 -0.168947105933163 1.58744775597678
"176910255" "176910255" 45.306 -85.095 "inv" 1995 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106 -0.894297042062044 1.64919870492034 -4.79819732086316
"176910258" "176910258" 48.5905 -120.35481 "inv" 1978 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148 -1.77040003121909 1.61990799024691 -1.2001181041768
"176910259" "176910259" 48.5905 -120.35481 "inv" 1978 "US" 726 103 194 22 296 36 11 31 96 41 55 87 167 45 6746 321 -45 366 25 188 -3.28470392003732 0.0157697306689027 1.87361196044196
"185840775" "185840775" 40.1886 -105.1803 "inv" NA "US" 80 113 182 51 1112 196 12 68 550 66 71 507 116 44 5155 273 10 263 55 180 -0.988313521511643 -6.45951802326932 -1.36752789932583
"185840776" "185840776" 39.422 -104.9571 "inv" NA "US" 142 110 199 24 525 103 5 76 282 30 30 263 125 39 6888 295 -25 320 29 199 -2.97400296461106 -2.57626632270906 0.757094349095578
"185840778" "185840778" 39.5001 -105.0537 "inv" NA "US" 1117 73 138 20 1346 236 10 71 674 61 75 616 123 48 4761 231 -25 256 24 136 -0.865686444776014 -6.6719919148314 -4.95563378667362
"185840779" "185840779" 39.6467 -105.1551 "inv" NA "US" 994 82 165 7 235 33 10 38 93 33 45 84 162 47 6210 288 -55 343 11 162 -3.2727954344685 0.434724057698939 0.563068345313642
