Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
RO002-3	4	O	control	BG001	5	nat	6	5.8	1.1	5/25/2011	black	1.75785791755237	0.0953101798043249	2.44948974278318	0.83638881938806
RO002-7	15	K	drought	RO001	25	nat	5	2.3	0.8	5/24/2011	black	0.832909122935104	-0.22314355131421	2.23606797749979	2.75714073562158
RO002-8	3	H	control	RO001	25	nat	6	4.3	1.2	5/25/2011	black	1.45861502269952	0.182321556793955	2.44948974278318	1.16389488847372
RO003-1	14	G	control	BG001	5	nat	5	4.2	1.2	5/26/2011	black	1.43508452528932	0.182321556793955	2.23606797749979	1.36720693337958
RO003-2	12	B	drought	BG001	5	nat	9	4.4	0.5	5/24/2011	black	1.48160454092422	-0.693147180559945	3	1.79668361714639
RO003-5	10	K	control	BG001	5	nat	9	7.5	1.2	5/25/2011	black	2.01490302054226	0.182321556793955	3	-0.0843550823620008
RO003-6	2	P	control	BG001	5	nat	8	3.9	1.2	5/25/2011	black	1.3609765531356	0.182321556793955	2.82842712474619	1.00652842061782
RO003-9	3	K	control	BG001	5	nat	7	5.8	1.3	5/25/2011	black	1.75785791755237	0.262364264467491	2.64575131106459	0.470718459794158
RO005-1	18	I	control	RO005	18	nat	16	6.2	2.2	5/26/2011	black	1.82454929205105	0.78845736036427	4	-1.36102649524823
RO005-2	13	P	control	RO005	29	nat	9	8.1	1.6	5/26/2011	black	2.09186406167839	0.470003629245736	3	-0.558928148157153
RO005-5	17	R	control	RO005	18	nat	9	6.1	1.3	5/26/2011	black	1.80828877117927	0.262364264467491	3	0.116639030211876
RO005-7	4	N	control	RO005	20	nat	9	6	1.6	5/25/2011	black	1.79175946922805	0.470003629245736	3	-0.120622584686764
RU001-1	9	U	control	BG001	2	nat	6	5.1	1.6	5/25/2011	black	1.62924053973028	0.470003629245736	2.44948974278318	0.552523979803339
RU001-2	16	I	drought	BG001	5	nat	4	4.2	0.7	5/24/2011	black	1.43508452528932	-0.356674943938732	2	2.23263657986862
RU001-4	12	D	drought	HU001	1	nat	9	6	1.6	5/24/2011	black	1.79175946922805	0.470003629245736	3	-0.120622584686764
RU001-7	3	M	control	HU001	4	nat	3	3.6	0.5	5/25/2011	black	1.28093384546206	-0.693147180559945	1.73205080756888	3.09347875815615
RU008-1	15	B	drought	RU008	7	nat	14	5.3	1.5	5/24/2011	black	1.66770682055808	0.405465108108164	3.74165738677394	-0.445292230556332
RU008-2	12	H	drought	RU008	3	nat	9	7.1	1.6	5/24/2011	black	1.96009478404727	0.470003629245736	3	-0.366477886038112
RU008-4	2	O	control	RU008	1	nat	14	9.1	2.2	5/25/2011	black	2.2082744135228	0.78845736036427	3.74165738677394	-1.7169555647682
RU008-5	9	P	control	RU008	7	nat	9	5.1	1.7	5/25/2011	black	1.62924053973028	0.53062825106217	3	0.0404158546318934
RU008-6	13	L	control	RU008	3	nat	12	8.5	3.2	5/26/2011	black	2.14006616349627	1.16315080980568	3.46410161513775	-1.86933422788896
RU008-7	2	S	control	RU008	1	nat	14	6.8	1.9	5/25/2011	black	1.91692261218206	0.641853886172395	3.74165738677394	-1.10687045386547
RU008-8	6	I	control	RU008	2	nat	9	9.3	2.1	5/25/2011	black	2.23001440015921	0.741937344729377	3	-1.10304272215718
RU008-9	16	P	drought	RU008	2	nat	15	8.6	1.9	5/24/2011	black	2.15176220325946	0.641853886172395	3.87298334620742	-1.55381403370043
TR001-2	19	I	drought	TR001	20	nat	9	8.6	1.5	5/24/2011	black	2.15176220325946	0.405465108108164	3	-0.565160653380334
TR001-3	8	G	control	TR001	17	nat	10	8.5	1.6	5/25/2011	black	2.14006616349627	0.470003629245736	3.16227766016838	-0.75778742133805
TR001-4	13	M	control	TR001	18	nat	10	8.7	2.1	5/26/2011	black	2.16332302566054	0.741937344729377	3.16227766016838	-1.13409899884001
TR001-5	16	J	drought	TR001	22	nat	8	6.7	1.8	5/24/2011	black	1.90210752639692	0.587786664902119	2.82842712474619	-0.294249422124091
TR001-6	18	H	control	TR001	17	nat	14	8.4	2.3	5/26/2011	black	2.12823170584927	0.832909122935104	3.74165738677394	-1.65601396850109
