"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"695807208" "695807208" 49.56 8.58 "nat" NA "DE" 38 102 177 24 810 86 49 14 232 171 228 195 82 33 5955 236 -7 243 162 60 2.32467810312652 -4.25169096527884 -0.120533278353813
"695807209" "695807209" 49.46 8.25 "nat" NA "DE" 128 97 172 21 861 88 55 13 247 180 247 210 79 33 5878 228 -10 238 172 56 2.68176140447196 -4.53776616603659 0.348420708249925
"695807217" "695807217" 49.06 8.08 "nat" NA "DE" 92 99 174 23 804 84 54 14 242 166 242 189 81 33 5875 231 -8 239 174 57 2.55689163689034 -4.34321624705981 0.0466625330740395
"695807229" "695807229" 52.56 14.08 "nat" NA "DE" 326 89 175 3 652 76 39 22 219 129 219 136 90 33 6699 239 -33 272 175 14 2.38906874762655 -2.59354860765551 -0.0793109613819801
"695807231" "695807231" 52.46 13.42 "nat" NA "DE" 218 94 174 12 695 75 44 16 213 142 213 159 87 33 6362 237 -24 261 174 52 2.38661797058707 -3.20013202708396 -0.179332951028479
"695807246" "695807246" 51.36 12.25 "nat" NA "DE" 81 88 177 -7 555 65 32 23 187 105 187 116 79 28 7129 236 -41 277 177 4 2.65397061593796 -2.02669088925349 -0.55444644806595
"695807251" "695807251" 51.26 12.42 "nat" NA "DE" 140 87 170 6 519 66 30 25 179 98 179 98 80 31 6398 228 -25 253 170 6 2.29517779957729 -2.35151031292648 -0.502342890145042
"695807264" "695807264" 50.76 6.08 "nat" NA "DE" 116 90 174 4 520 61 30 24 179 96 179 100 81 31 6638 233 -27 260 174 13 2.26213404517099 -2.19513050319049 -0.706498700330888
"695807267" "695807267" 49.56 8.42 "nat" NA "DE" 131 88 171 7 515 66 29 29 185 92 185 94 82 32 6408 231 -23 254 171 16 2.04319767732863 -2.26312622123082 -0.573243181174739
"695807274" "695807274" 48.56 7.75 "nat" NA "DE" 167 86 167 7 548 75 29 30 199 98 199 98 83 32 6267 229 -27 256 167 15 2.04206448852515 -2.35284963549127 -0.248440870957229
"70463077" "70463077" 47.65417 -117.45556 "inv" 1992 "US" 105 99 172 24 802 82 53 14 239 167 239 188 79 33 5789 227 -6 233 172 57 2.56029396820399 -4.38270801810423 0.0812234377711301
