"Pop" "Origin" "Latitude" "Longitude" "Row" "Column" "Trt" "Mom" "tagged" "Bolt.date" "BoltedatH" "MaxBoltHtH" "Rose.AreaH.m2" "CrownDiam.mm" "Shoot.mass.gH" "bolt.bin" "time" "m.date" "lfl" "lfw" "lfc" "rd" "alt" "PC1" "PC2" "PC3"
"84" "BG001" "nat" 43.3819444444444 28.4575 2 "P" "control" 5 "RO003-6" 50 "Yes" 14 0.097543575 11.9 6 1 2 31 12.7 3.3 17 21.7 61 0.930732145179002 1.19301447853028 2.95606253906668
"85" "CA001" "inv" 49.0149388888889 -122.882097222222 3 "J" "control" 5 "CA001-4" NA "No" NA 0.2148786 24.7 48 0 1 13 7.5 1.6 3 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"86" "CA001" "inv" 49.0149388888889 -122.882097222222 5 "F" "drought" 1 "CORY1-6" 50 "Yes" 19 0.2123654 16.04 30 1 1 17 8 1.9 17 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"87" "CA001" "inv" 49.0149388888889 -122.882097222222 12 "J" "drought" 3 "CA001-7" 46 "Yes" 9 0.2594879 12.91 15 1 1 13 5.2 1.9 9 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"88" "CA001" "inv" 49.0149388888889 -122.882097222222 12 "L" "drought" 4 "CA001-8" NA "No" NA 0.2041975 29.1 80 0 1 17 5.1 1.6 12 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"89" "CA001" "inv" 49.0149388888889 -122.882097222222 6 "E" "control" 3 "CA001-9" 53 "Yes" 16 0.345722075 19.6 56 1 1 13 10.4 3 25 NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
"90" "CA001" "inv" 49.0149388888889 -122.882097222222 8 "C" "control" 1 "CA001-2" NA NA NA NA NA NA NA 2 32 18.3 4.9 55 31.4 24 6.5317597140711 4.35512137262044 -2.60348498479734
"91" "CA001" "inv" 49.0149388888889 -122.882097222222 12 "J" "drought" 3 "CA001-7" 46 "Yes" 9 0.2594879 12.91 15 1 2 31 17.6 4.9 16 30.8 24 6.5317597140711 4.35512137262044 -2.60348498479734
"92" "CA001" "inv" 49.0149388888889 -122.882097222222 12 "L" "drought" 4 "CA001-8" NA "No" NA 0.2041975 29.1 80 0 2 32 12.9 4.1 34 24.3 24 6.5317597140711 4.35512137262044 -2.60348498479734
"93" "CA001" "inv" 49.0149388888889 -122.882097222222 13 "E" "control" 4 "CORY1-4" NA NA NA NA NA NA NA 2 31 NA NA NA NA 24 6.5317597140711 4.35512137262044 -2.60348498479734
