Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
UA008-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	52	48	0.1960296	NA	36	4.5	30.7		94
UA008-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	29	27	0.061494863	NA	16	4	11.9		10
UA008-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	49	45	0.173175188	NA	23	4	32.2		70
UA008-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	43	40	0.1350845	NA	20	7	35.7		NA
US-0236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
US001-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	77	69	0.417269738	NA	33	6	48.3		166
US001-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	61	59	0.282656463	NA	32	4.5	30.7		108
US001-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	77	71	0.429364513	NA	39	7	39.5		218
US001-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	77	77	0.465648838	NA	44	7	45.2		170
US001-5	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	5.5	NA	NA	NA	NA	50	42	0.16492875	56	27	5.5	9.23		14
US001-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	58	52	0.2368691	NA	28	9	31.9		74
US001-7	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21.5	NA	NA	NA	NA	46	46	0.16618535	46	25	8	8.8		10
US001-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	32	29	0.0728828	NA	16	4.5	15.6		22
US002-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	51	42	0.168227325	NA	29	4.5	23.6		44
US002-2	Friday, July 08, 2011	Monday, July 11, 2011	Yes	35	26	10	NA	NA	59	54	0.250220475	76	28	6	13.74	bolt height measured 18/07	32
