Row	Column	Trt	Pop	Mom	Origin	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	PC1
US003-4	16	R	drought	US003	25	inv	33.2	27	18	4.9	3.50254987592244	2.89037175789616	1.58923520511658	5.19615242270663	0.724948061004037
US003-5	17	J	control	US003	20	inv	34.4	90	19.2	4.3	3.53805656437935	2.95491027903374	1.45861502269952	9.48683298050514	1.76644262402646
US003-6	8	D	control	US003	7	inv	33.1	51	17.7	5.4	3.49953328238302	2.87356463957978	1.68639895357023	7.14142842854285	1.30885518273987
US003-8	8	R	control	US003	20	inv	35.3	22	19.9	5.6	3.56388296393925	2.99071973173045	1.7227665977411	4.69041575982343	1.02387757674863
US012-1	10	F	control	US003	20	inv	27.2	24	14.2	5.6	3.30321697330195	2.65324196460721	1.7227665977411	4.89897948556636	0.175045596441605
US012-5	5	B	drought	US003	27	inv	10.6	11	5.8	1.9	2.36085400111802	1.75785791755237	0.641853886172395	3.3166247903554	-4.42713400620852
US012-8	18	Q	control	US002	10	inv	42.8	25	24.8	5.2	3.75653810258775	3.21084365317094	1.64865862558738	5	1.6209367247891
US013-3	15	U	drought	US002	5	inv	21.1	12	11.1	3.2	3.04927304048202	2.40694510831829	1.16315080980568	3.46410161513775	-1.68542417005692
US013-4	15	L	drought	US002	9	inv	38.4	22	19.2	5.2	3.64805745959368	2.95491027903374	1.64865862558738	4.69041575982343	0.989581397956901
US013-5	9	K	control	US002	9	inv	27.2	17	14.6	4.6	3.30321697330195	2.68102152871429	1.52605630349505	4.12310562561766	-0.239848316209456
US013-7	4	T	control	US002	9	inv	31.8	18	16.3	5.2	3.45946628978613	2.79116510781272	1.64865862558738	4.24264068711928	0.351773531687169
US013-8	13	F	control	US002	9	inv	7.7	5	4.5	0.9	2.04122032885964	1.50407739677627	-0.105360515657826	2.23606797749979	-6.55893313191271
US014-1	19	C	drought	BG001	4	nat	24.9	37	12.9	3.7	3.21486780347066	2.55722731136763	1.30833281965018	6.08276253029822	-0.366489404169538
US014-3	9	G	control	RO001	25	nat	20.2	15	11.2	3.3	3.00568260440716	2.41591377830105	1.19392246847243	3.87298334620742	-1.59121922699812
US014-4	14	F	control	BG001	4	nat	28.3	53	14.2	5.2	3.34286180464919	2.65324196460721	1.64865862558738	7.28010988928052	0.72388676699245
US014-5	12	E	drought	BG001	4	nat	31.2	16	15.7	3.7	3.44041809481544	2.75366071235426	1.30833281965018	4	-0.253325226479908
US014-6	17	K	control	RO001	25	nat	20.5	12	10.4	3.2	3.02042488614436	2.34180580614733	1.16315080980568	3.46410161513775	-1.82832132857289
US014-7	19	K	drought	BG001	4	nat	28.9	18	14.3	3.3	3.36384159511839	2.66025953726586	1.19392246847243	4.24264068711928	-0.603008347345485
US014-8	10	D	control	BG001	4	nat	23.2	14	12.4	1.2	3.14415227867226	2.51769647261099	0.182321556793955	3.74165738677394	-2.63033930239902
