"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"185840781" "185840781" 40.2669 -105.539 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -2.1897719175925 -2.64633741043608 -0.916938810076647
"185841619" "185841619" 40.1829 -105.3288 "inv" NA "US" 842 94 190 5 498 61 15 34 174 61 75 162 138 38 7251 305 -49 354 12 186 -1.95502676999312 -0.189049470837148 0.723426242058382
"185841718" "185841718" 40.0129 -105.2967 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180 -2.66350030615369 0.848613715636327 0.167382946615
"185841761" "185841761" 40.23667 -105.31972 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180 -2.65947072356003 0.852142721969614 0.169819601346407
"185841852" "185841852" 40.42973 -105.34095 "inv" NA "US" 696 89 180 3 320 46 9 46 136 36 39 121 125 38 6933 280 -46 326 8 179 -2.0553181398535 -0.420619670377031 0.877295728449923
"199563808" "199563808" 49.64 6.14 "nat" 1949 "LU" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212 -3.21358201101698 1.31556098937366 1.86956755659715
"20713174" "20713174" 59.18695 10.95151 "nat" 1905 "NO" 559 90 177 6 470 78 8 57 219 41 42 205 140 42 6704 288 -45 333 10 175 -2.28761725816976 0.848765626362816 0.253400498342043
"20713176" "20713176" 58.15342 7.97459 "nat" 1893 "NO" 887 72 167 -18 769 105 25 39 303 96 111 285 127 37 7219 275 -66 341 -12 162 -0.36518777698053 0.938705483666105 -1.38683653880453
"20713178" "20713178" 58.14798 7.96796 "nat" 1893 "NO" 1772 100 218 -16 306 34 14 21 96 62 76 66 151 36 9042 321 -95 416 168 143 -1.87706845428685 -2.4266996288193 1.97327021555674
"20713180" "20713180" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192 -3.69509014097158 -1.07461188945008 1.4504553267352
"20713184" "20713184" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192 -3.69509014097158 -1.07461188945008 1.4504553267352
"214388591" "214388591" 40.93 25.92 "nat" NA "GR" 1512 78 196 -40 525 56 20 25 163 83 83 146 144 34 9069 307 -106 413 69 196 -1.62256130184595 -2.21331470509046 0.0326630062379415
"216492645" "216492645" 39.1 -104.8 "inv" 1997 "US" 1888 50 152 -47 334 39 16 27 107 54 66 96 178 43 7728 283 -130 413 -36 148 -2.40566086135941 -3.33536782839401 -1.45881564322117
"216492967" "216492967" 39.632 -105.187 "inv" 1999 "US" 1937 91 172 21 733 131 3 78 378 35 36 371 158 48 6071 273 -54 327 27 147 -3.84201417659969 2.05280186091715 -2.20384357617448
"216492980" "216492980" 49.5 -119.7 "inv" 1965 "CA" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -2.02350504068525 -2.50072509253881 -0.816398626850327
"216492992" "216492992" 38.594 -109.29 "inv" 1999 "US" 2311 55 163 -55 412 45 23 18 129 88 111 88 179 41 8475 277 -154 431 157 95 -1.27658010356343 -3.83880601182643 -1.24332978807556
"216492996" "216492996" 45.701 -121.457 "inv" 1987 "US" 587 75 171 -20 824 163 12 78 457 55 55 420 135 38 7473 276 -72 348 -15 171 -2.41131745477932 2.02914790161791 -2.67826716216952
"216493000" "216493000" 39.4203 -104.8882 "inv" 2000 "US" 174 114 224 4 169 29 5 45 73 22 24 65 131 35 8529 320 -50 370 10 216 -3.09562546470708 -1.31283572599039 2.86878042926233
"216493108" "216493108" 38.587 -109.26 "inv" 1985 "US" 700 73 181 -39 351 44 16 28 122 56 72 116 130 34 8590 278 -100 378 -32 177 -1.35243161926812 -2.28175924303727 0.109365096816455
"216493110" "216493110" 43.206 -114.656 "inv" 1990 "US" 545 90 192 -9 449 62 17 38 177 59 71 161 122 34 7868 294 -55 349 -4 187 -1.44218360740826 -0.419175387771706 0.748168415616795
"216493128" "216493128" 41.906 -118.964 "inv" 1978 "US" 331 98 199 -2 208 33 6 46 91 25 30 84 143 39 7833 304 -60 364 2 193 -2.91066759660433 -1.27369604297715 1.77649250405482
"216493162" "216493162" 41.39 -82.551 "inv" 1998 "US" 942 61 166 -46 412 68 11 52 190 47 53 171 122 33 8299 265 -98 363 -39 163 -1.59771859633048 -1.64315006442946 -1.06096912551992
"216493443" "216493443" 41.506 -111.318 "inv" 2008 "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -2.16745857893314 -2.62679595381733 -0.903446121701591
"217906593" "217906593" 38.1 -3.1 "nat" NA "ES" 421 90 188 -8 256 42 6 53 118 27 32 109 141 39 7621 292 -64 356 -3 183 -2.82075254386672 -1.14177471722963 1.01680310737497
"217911152" "217911152" 38.1 -3.1 "nat" 1979 "ES" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24 -2.48946107530355 -2.72186722441848 0.313792238973274
"217911153" "217911153" 38.1 -3.1 "nat" NA "ES" 1084 45 151 -65 475 76 21 45 206 71 77 190 130 34 8413 250 -124 374 -57 146 -0.908292378119225 -2.17045989243497 -2.22986004051019
"217911776" "217911776" 38.1 -3.1 "nat" 1979 "ES" 511 82 180 -17 363 63 8 59 176 36 39 160 137 38 7690 282 -73 355 -12 176 -2.55331916433868 -0.818104402321511 0.0455680977429989
"217911777" "217911777" 38.1 -3.1 "nat" NA "ES" 1043 52 148 -43 765 135 15 64 380 69 70 349 115 34 7481 240 -91 331 -37 146 -1.07473559548137 0.569416750325434 -3.33868266845373
"224897443" "224897443" 39 -120 "inv" NA "US" 741 74 178 -26 624 88 24 39 251 83 98 226 127 35 7957 284 -74 358 -20 171 -1.0006103582143 -0.307133705833602 -0.855138238025593
"224897455" "224897455" 39 -120 "inv" NA "US" 67 97 154 42 583 88 18 46 247 72 72 226 89 41 4454 220 6 214 45 154 0.111501134929932 3.08493789232633 0.110477023253312
"224897458" "224897458" 40 -121 "inv" NA "US" 221 107 216 -6 261 45 6 55 122 28 33 111 122 33 8606 310 -55 365 2 210 -2.7872602925688 -0.979069750836883 2.04352210903658
"224897484" "224897484" 38 -120 "inv" NA "US" 127 120 221 21 211 31 5 43 86 24 27 78 130 37 7748 320 -29 349 26 214 -3.02766140138156 -0.500646544929356 3.04857696993992
"224897506" "224897506" 42 -123 "inv" NA "US" 143 119 219 20 245 36 6 42 98 28 31 88 131 37 7717 319 -29 348 26 213 -2.85084636254791 -0.323884572430813 2.91179813044455
"224897562" "224897562" 41 -123 "inv" NA "US" 832 59 147 -25 1365 248 23 70 704 98 98 649 114 37 6768 239 -69 308 -20 147 -0.746203201518326 4.55690389881951 -5.75436570054622
"224897637" "224897637" 39 -120 "inv" NA "US" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24 -2.47325414705448 -2.70767360731182 0.323592432289028
"224897648" "224897648" 40 -124 "inv" NA "US" 2281 37 150 -82 376 42 20 22 120 70 119 70 178 40 8923 266 -171 437 142 -82 -0.715341059224765 -5.0455514826362 -1.9658247073117
"224897649" "224897649" 38 -120 "inv" NA "US" 188 68 185 -56 798 101 34 25 263 134 225 146 109 28 9442 263 -121 384 143 -50 2.12175495836609 -1.70059004413124 -0.814766725239998
"224897650" "224897650" 38 -120 "inv" NA "US" 1182 39 143 -68 571 95 23 50 259 80 82 238 127 34 8220 241 -125 366 -60 139 -0.674168195711978 -1.65350933470231 -3.03993814993489
"224897657" "224897657" 37 -120 "inv" NA "US" 1552 95 205 -12 383 65 12 48 158 39 120 39 162 39 8445 308 -101 409 136 -12 -2.29651051929285 -2.37652584153235 0.715113976705655
"224897790" "224897790" 34 -117 "inv" NA "US" 1719 94 203 -5 424 66 13 42 163 46 139 46 159 40 8093 300 -92 392 176 -5 -1.94225778856836 -2.05281902173381 0.691688161463702
"224897791" "224897791" 34 -117 "inv" NA "US" 2719 25 122 -64 523 59 30 24 166 97 163 97 155 42 7344 226 -140 366 99 -64 0.545569359163069 -3.49032839483865 -3.24818681132678
"224897939" "224897939" 34 -117 "inv" NA "US" 2147 65 164 -24 418 61 13 45 165 44 152 44 157 42 7378 266 -102 368 140 -24 -1.36411961274853 -2.44578072935168 -0.907193695460803
"296440620" "296440620" 40.261 29.829 "nat" 1988 "TR" 1616 79 196 -30 392 68 6 69 200 24 177 24 169 40 8806 306 -116 422 169 -30 -2.478635545493 -2.77256428868184 0.0105180719726496
"306598310" "306598310" 50.15948 -5.5707 "nat" 1888 "GB" 1659 96 201 -1 427 68 14 42 167 48 130 48 156 40 7925 300 -85 385 132 -1 -1.67070166490516 -1.55217561516716 0.812346570797008
